Join_Count,TARGET_FID,F_id,F_version,F_created_at,F_updated_at,borocode,boroname,countyfips,nta2020,ntaname,ntaabbrev,ntatype,cdta2020,cdtaname,shape_leng,area_km2,Unique_Key,Created_Date,Closed_Date,Agency,Agency_Name,Problem__formerly_Complaint_Type_,Problem_Detail__formerly_Descriptor_,Additional_Details,Location_Type,Incident_Zip,Incident_Address,Street_Name,Cross_Street_1,Cross_Street_2,Intersection_Street_1,Intersection_Street_2,Address_Type,City,Landmark,Facility_Type,Status,Due_Date,Resolution_Description,Resolution_Action_Updated_Date,Community_Board,Council_District,Police_Precinct,BBL,Borough,X_Coordinate__State_Plane_,Y_Coordinate__State_Plane_,Open_Data_Channel_Type,Park_Facility_Name,Park_Borough,Vehicle_Type,Taxi_Company_Borough,Taxi_Pick_Up_Location,Bridge_Highway_Name,Bridge_Highway_Direction,Road_Ramp,Bridge_Highway_Segment,Latitude,Longitude,Location,Shape_Length,Shape_Area
2868,11,row-aczq.vfpp_6f3j,rv-syra_9gtb_iwf4,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0302,Bedford-Stuyvesant (East),BdSty_E,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),29753.9705547,3.835962356102785,67984244,02/13/2026 08:59:00 PM,02/13/2026 05:09:58 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),WA2,RESIDENTIAL BUILDING,11221,993 JEFFERSON AVENUE,JEFFERSON AVENUE,HOWARD AVE,SARATOGA AVE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,VERNON AVENUE,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,03 BROOKLYN,41,Precinct 81,3014860048,BROOKLYN,1006689,189524,PHONE,Unspecified,BROOKLYN,,,,,,,,40.686847926680002,-73.919090773400001,POINT (-73.919090773405 40.686847926677),0.094746153566581,0.000408640013667
1957,12,row-fems.fu6y-cab9,rv-yaas.h457~f7s9,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0401,Bushwick (West),Bshwck_W,0,BK04,BK04 Bushwick (CD 4 Equivalent),23685.2333004,2.149263169670636,67979241,02/13/2026 07:17:56 PM,02/12/2026 10:55:19 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,MULTIPLE ROOMS OR AREAS,RESIDENTIAL BUILDING,11237,205 WILSON AVENUE,WILSON AVENUE,TROUTMAN ST,STARR ST,MELROSE STREET,JEFFERSON STREET,ADDRESS,BROOKLYN,BROADWAY,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,04 BROOKLYN,37,Precinct 83,3032570003,BROOKLYN,1005713,193927,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.698935559559999,-73.922595946269993,POINT (-73.922595946266 40.69893555956),0.077760483745837,0.000229006811680
2223,13,row-8jgg~ckxe.isda,rv-djf7-y6vi.mjwv,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0402,Bushwick (East),Bshwck_E,0,BK04,BK04 Bushwick (CD 4 Equivalent),27120.6703657,2.595167611431207,67983638,02/13/2026 04:17:55 PM,02/11/2026 12:12:00 PM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,BASIN BROKEN/LEAKING,RESIDENTIAL BUILDING,11221,1040 BUSHWICK AVENUE,BUSHWICK AVENUE,DECATUR ST,COOPER ST,BUSHWICK AVENUE,EVERGREEN AVENUE,ADDRESS,BROOKLYN,WOODBINE STREET,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,04 BROOKLYN,37,Precinct 83,3033300025,BROOKLYN,1006153,191080,PHONE,Unspecified,BROOKLYN,,,,,,,,40.691120129950001,-73.921018390910007,POINT (-73.921018390915 40.691120129946),0.087032706392039,0.000276478670352
0,14,row-eqd5.8p4y-azd3,rv-fvry.u9rx-x53n,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0471,The Evergreens Cemetery,EvrgrnsCem,7,BK04,BK04 Bushwick (CD 4 Equivalent),10950.2093719,0.518902182398902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033641104540892,0.000055276141064
1265,15,row-rsmz-yp2i-iafr,rv-75y5_kjch_djww,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0501,Cypress Hills,CyprssHls,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),31089.6609837,2.264891331251382,67987048,02/13/2026 09:38:00 PM,02/13/2026 12:14:59 PM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),SA,RESIDENTIAL BUILDING,11208,2 ETNA STREET,ETNA STREET,HIGHLAND PL,FORCE TUBE AVE,JACKIE ROBINSON PARKWAY,ETNA STREET,ADDRESS,BROOKLYN,HIGHLAND BOULEVARD,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,37,Precinct 75,3039130018,BROOKLYN,1017016,188845,PHONE,Unspecified,BROOKLYN,,,,,,,,40.684952023020003,-73.881857624180000,POINT (-73.881857624178 40.684952023019),0.101010597444173,0.000241261321519
1541,16,row-yj8i~rtys-ec2y,rv-5w99.cpcd-t96u,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0502,East New York (North),ENY_N,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),25634.3707218,2.592655734546124,67987068,02/13/2026 05:32:00 PM,02/13/2026 03:25:18 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),WC3,RESIDENTIAL BUILDING,11208,149 MILFORD STREET,MILFORD STREET,LIBERTY AVE,GLENMORE AVE,VAN SICLEN AVENUE,HENDRIX STREET,ADDRESS,BROOKLYN,FULTON STREET,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,37,Precinct 75,3041890001,BROOKLYN,1018235,185639,PHONE,Unspecified,BROOKLYN,,,,,,,,40.676147692809998,-73.877478523969998,POINT (-73.877478523969 40.676147692809),0.083089379544431,0.000276134535726
2188,17,row-66ki_rdmz~krs8,rv-krue_8eyw_2gvc,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0503,East New York-New Lots,ENY_NwLts,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),36564.9249151,4.316056440646436,67983657,02/13/2026 05:24:45 PM,02/13/2026 09:30:50 PM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,AIR VALVE BROKEN OR MISSING,RESIDENTIAL BUILDING,11207,635 VERMONT STREET,VERMONT STREET,DUMONT AVE,HEGEMAN AVE,ELTON STREET,STANLEY AVENUE,ADDRESS,BROOKLYN,AVENUE D,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,42,Precinct 75,3038250003,BROOKLYN,1014264,181153,PHONE,Unspecified,BROOKLYN,,,,,,,,40.663848989149997,-73.891814585930007,POINT (-73.891814585934 40.663848989149),0.119698519974659,0.000459601250388
329,18,row-hmj3.chcn_zjky,rv-5rb6-74s2_jbja,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0504,Spring Creek-Starrett City,SpCrk_StrC,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),33027.6834429,2.516410438029322,67979585,02/13/2026 11:53:37 AM,02/12/2026 08:59:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,NO WATER,RESIDENTIAL BUILDING,11239,20 VITAL AVENUE,VITAL AVENUE,MILFORD ST,FOUNTAIN AVE,FLATLANDS AVENUE,PENNSYLVANIA AVENUE,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,42,Precinct 75,3045860470,BROOKLYN,1021135,177784,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.654575877989998,-73.867066540600007,POINT (-73.867066540601 40.654575877987),0.104382648944106,0.000267928969042
1355,19,row-wgn2_vhv8.gja4,rv-m34g-6b9e~fv82,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0505,East New York-City Line,ENY_CtyLn,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),29722.6976164,2.929162566314726,67981967,02/13/2026 02:11:16 PM,02/11/2026 02:32:00 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,WIRING,EXPOSED,RESIDENTIAL BUILDING,11208,377 FORBELL STREET,FORBELL STREET,DUMONT AVE,LINDEN BLVD,DOSCHER STREET,LIBERTY AVENUE,ADDRESS,BROOKLYN,PINE STREET,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,42,Precinct 75,3042750009,BROOKLYN,1022318,184579,PHONE,Unspecified,BROOKLYN,,,,,,,,40.673221618290000,-73.862764651809997,POINT (-73.862764651812 40.67322161829),0.090714259849705,0.000311965727064
13,20,row-bw8d~22cg.2aby,rv-danq~2kre.5e9k,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0571,Highland Park-Cypress Hills Cemeteries (South),CyHlsCem_S,7,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),15889.6701392,0.752605749078727,66855462,11/16/2025 09:37:41 AM,11/17/2025 10:15:49 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,N/A,Street,11207,JAMAICA AVENUE,JAMAICA AVENUE,JAMAICA AVENUE,WARWICK STREET,JAMAICA AVENUE,WARWICK STREET,INTERSECTION,BROOKLYN,,,Closed,,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",11/17/2025 10:15:58 AM,05 BROOKLYN,37,Precinct 75,3040940001,BROOKLYN,1015261,187970,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.682556672330001,-73.888189541009993,POINT (-73.888189541007 40.682556672326),0.052494427161239,0.000080177501998
1898,21,row-swak_8v4v~sh6s,rv-6cpk-2im4.63rq,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),67164.9126388,5.649602279953843,67981419,02/13/2026 06:56:00 PM,02/13/2026 01:07:49 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),WA4,Street,11215,554 4 AVENUE,4 AVENUE,15 ST,16 ST,4 AVENUE,16 STREET,ADDRESS,BROOKLYN,3 PLACE,N/A,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,02/13/2026 12:00:00 AM,07 BROOKLYN,38,Precinct 72,3010467501,BROOKLYN,986498,182122,PHONE,Unspecified,BROOKLYN,,,,,,,,40.666559265799997,-73.991896760469999,POINT (-73.991896760468 40.666559265795),0.211631453481204,0.000601769130684
1393,22,row-r59y-3dw5-qcfs,rv-b3ep.wh3z_ucuv,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0602,Park Slope,PkSlp,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),23539.0892526,2.399850112541115,67982373,02/13/2026 04:02:00 PM,02/12/2026 10:50:00 AM,DEP,Department of Environmental Protection,Water System,No Water (WNW),WNW,Street,11215,848 CARROLL STREET,CARROLL STREET,8 AVE,PROSPECT PARK W,BERKELEY PLACE,UNION STREET,ADDRESS,BROOKLYN,7 AVENUE,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/12/2026 12:00:00 AM,06 BROOKLYN,39,Precinct 78,3010720014,BROOKLYN,991763,184054,PHONE,Unspecified,BROOKLYN,,,,,,,,40.671859271970000,-73.972916157789996,POINT (-73.972916157791 40.671859271975),0.073396477557189,0.000255597030435
701,23,row-5h4a~rjmb.2hf5,rv-z5uf.wywf~vdp5,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0701,Windsor Terrace-South Slope,WndsrTr,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),21233.3223789,1.422559194821427,67985631,02/13/2026 09:20:00 PM,02/13/2026 11:57:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),WC1,RESIDENTIAL BUILDING,11215,1622 10 AVENUE,10 AVENUE,16 ST,WINDSOR PL,10 AVENUE,WINDSOR PLACE,ADDRESS,BROOKLYN,TERRACE PLACE,N/A,Open,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/13/2026 11:57:00 AM,07 BROOKLYN,39,Precinct 72,3011100051,BROOKLYN,990238,179290,PHONE,Unspecified,BROOKLYN,,,,,,,,40.658784312660003,-73.978417907700006,POINT (-73.978417907704 40.658784312663),0.067173795308204,0.000151474952878
1439,24,row-trmr_qqhc-ep65,rv-zaux_2atq-jc32,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0702,Sunset Park (West),SnstPk_W,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),79869.4683041,4.680359190115616,67988510,02/13/2026 02:26:00 PM,02/12/2026 05:30:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),WA2,RESIDENTIAL BUILDING,11220,429 46 STREET,46 STREET,4 AVE,5 AVE,3 AVENUE,24 STREET,ADDRESS,BROOKLYN,17 STREET,N/A,Open,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/12/2026 05:30:00 PM,07 BROOKLYN,38,Precinct 72,3007470064,BROOKLYN,981640,175437,PHONE,Unspecified,BROOKLYN,,,,,,,,40.648210308499998,-74.009405533259994,POINT (-74.009405533262 40.648210308501),0.255873216914539,0.000498348517710
