Join_Count,TARGET_FID,F_id,F_version,F_created_at,F_updated_at,borocode,boroname,countyfips,nta2020,ntaname,ntaabbrev,ntatype,cdta2020,cdtaname,shape_leng,area_km2,Unique_Key,Created_Date,Closed_Date,Agency,Agency_Name,Problem__formerly_Complaint_Type_,Problem_Detail__formerly_Descriptor_,Additional_Details,Location_Type,Incident_Zip,Incident_Address,Street_Name,Cross_Street_1,Cross_Street_2,Intersection_Street_1,Intersection_Street_2,Address_Type,City,Landmark,Facility_Type,Status,Due_Date,Resolution_Description,Resolution_Action_Updated_Date,Community_Board,Council_District,Police_Precinct,BBL,Borough,X_Coordinate__State_Plane_,Y_Coordinate__State_Plane_,Open_Data_Channel_Type,Park_Facility_Name,Park_Borough,Vehicle_Type,Taxi_Company_Borough,Taxi_Pick_Up_Location,Bridge_Highway_Name,Bridge_Highway_Direction,Road_Ramp,Bridge_Highway_Segment,Latitude,Longitude,Location,Shape_Length,Shape_Area
3928,11,row-aczq.vfpp_6f3j,rv-syra_9gtb_iwf4,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0302,Bedford-Stuyvesant (East),BdSty_E,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),29753.9705547,3.835962356102785,67982182,02/13/2026 10:14:56 PM,02/13/2026 06:29:01 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HOT WATER,RESIDENTIAL BUILDING,11213,400 HERKIMER STREET,HERKIMER STREET,,,,,ADDRESS,BROOKLYN,,,Open,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",02/13/2026 12:00:00 AM,03 BROOKLYN,36,Precinct 79,3018710018,BROOKLYN,1000876,186700,PHONE,Unspecified,BROOKLYN,,,,,,,,40.679109520090002,-73.940057907140002,POINT (-73.940057907143 40.679109520086),0.094746153566581,0.000408640013667
1731,12,row-fems.fu6y-cab9,rv-yaas.h457~f7s9,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0401,Bushwick (West),Bshwck_W,0,BK04,BK04 Bushwick (CD 4 Equivalent),23685.2333004,2.149263169670636,67986238,02/13/2026 07:11:46 PM,02/13/2026 07:25:57 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,11237,147 STARR STREET,STARR STREET,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,04 BROOKLYN,34,Precinct 83,3031870049,BROOKLYN,1005122,195591,PHONE,Unspecified,BROOKLYN,,,,,,,,40.703504261989998,-73.924722167509998,POINT (-73.924722167515 40.703504261988),0.077760483745837,0.000229006811680
2065,13,row-8jgg~ckxe.isda,rv-djf7-y6vi.mjwv,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0402,Bushwick (East),Bshwck_E,0,BK04,BK04 Bushwick (CD 4 Equivalent),27120.6703657,2.595167611431207,67984833,02/13/2026 09:11:04 PM,02/13/2026 02:16:10 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,11221,962 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,04 BROOKLYN,37,Precinct 83,3032940025,BROOKLYN,1005538,191538,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.692378734400002,-73.923234615349998,POINT (-73.923234615352 40.692378734398),0.087032706392039,0.000276478670352
0,14,row-eqd5.8p4y-azd3,rv-fvry.u9rx-x53n,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0471,The Evergreens Cemetery,EvrgrnsCem,7,BK04,BK04 Bushwick (CD 4 Equivalent),10950.2093719,0.518902182398902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033641104540892,0.000055276141064
667,15,row-rsmz-yp2i-iafr,rv-75y5_kjch_djww,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0501,Cypress Hills,CyprssHls,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),31089.6609837,2.264891331251382,67980642,02/13/2026 03:39:42 PM,02/12/2026 01:00:55 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11208,296 NICHOLS AVENUE,NICHOLS AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,37,Precinct 75,3041500048,BROOKLYN,1020748,188307,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.683460735300002,-73.868404311860004,POINT (-73.868404311865 40.683460735302),0.101010597444173,0.000241261321519
1431,16,row-yj8i~rtys-ec2y,rv-5w99.cpcd-t96u,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0502,East New York (North),ENY_N,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),25634.3707218,2.592655734546124,67983555,02/13/2026 06:47:31 PM,02/13/2026 09:30:50 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11207,835 BLAKE AVENUE,BLAKE AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,42,Precinct 75,3040430001,BROOKLYN,1015394,182993,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.668895473280003,-73.887733007050002,POINT (-73.887733007054 40.668895473283),0.083089379544431,0.000276134535726
2601,17,row-66ki_rdmz~krs8,rv-krue_8eyw_2gvc,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0503,East New York-New Lots,ENY_NwLts,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),36564.9249151,4.316056440646436,67986237,02/13/2026 09:40:57 PM,02/13/2026 09:30:50 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,11207,733 HINSDALE STREET,HINSDALE STREET,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,42,Precinct 75,3038750004,BROOKLYN,1012892,178523,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.656634768259998,-73.896771124500006,POINT (-73.896771124501 40.656634768264),0.119698519974659,0.000459601250388
611,18,row-hmj3.chcn_zjky,rv-5rb6-74s2_jbja,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0504,Spring Creek-Starrett City,SpCrk_StrC,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),33027.6834429,2.516410438029322,67986232,02/13/2026 12:10:03 PM,02/10/2026 02:43:44 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,11239,875 ERSKINE STREET,ERSKINE STREET,,,,,ADDRESS,BROOKLYN,,,Open,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",02/13/2026 12:00:00 AM,05 BROOKLYN,42,Precinct 75,3045867506,BROOKLYN,1020944,178131,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.655529109539998,-73.867753015100007,POINT (-73.867753015104 40.655529109539),0.104382648944106,0.000267928969042
2279,19,row-wgn2_vhv8.gja4,rv-m34g-6b9e~fv82,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0505,East New York-City Line,ENY_CtyLn,0,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),29722.6976164,2.929162566314726,67984871,02/13/2026 04:57:40 PM,02/13/2026 09:30:50 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,11208,430 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,05 BROOKLYN,37,Precinct 75,3041800045,BROOKLYN,1020790,186868,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.679510838559999,-73.868260681560002,POINT (-73.868260681557 40.679510838564),0.090714259849705,0.000311965727064
0,20,row-bw8d~22cg.2aby,rv-danq~2kre.5e9k,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0571,Highland Park-Cypress Hills Cemeteries (South),CyHlsCem_S,7,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),15889.6701392,0.752605749078727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052494427161239,0.000080177501998
1089,21,row-swak_8v4v~sh6s,rv-6cpk-2im4.63rq,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),67164.9126388,5.649602279953843,67979396,02/13/2026 09:34:33 PM,02/13/2026 01:14:31 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11217,110 4 AVENUE,4 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",02/13/2026 12:00:00 AM,06 BROOKLYN,39,Precinct 78,3004010041,BROOKLYN,989624,187384,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.681000927329997,-73.980624448399993,POINT (-73.980624448401 40.681000927329),0.211631453481204,0.000601769130684
1875,22,row-r59y-3dw5-qcfs,rv-b3ep.wh3z_ucuv,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0602,Park Slope,PkSlp,0,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),23539.0892526,2.399850112541115,67983422,02/13/2026 08:51:59 PM,02/13/2026 03:39:04 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT,RESIDENTIAL BUILDING,11215,515 6 AVENUE,6 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",02/13/2026 12:00:00 AM,06 BROOKLYN,39,Precinct 78,3010300001,BROOKLYN,988184,181834,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.665768181190003,-73.985819498959998,POINT (-73.98581949896 40.665768181188),0.073396477557189,0.000255597030435
605,23,row-5h4a~rjmb.2hf5,rv-z5uf.wywf~vdp5,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0701,Windsor Terrace-South Slope,WndsrTr,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),21233.3223789,1.422559194821427,67970689,02/12/2026 07:10:02 PM,02/11/2026 07:58:55 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,11215,270 15 STREET,15 STREET,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/12/2026 12:00:00 AM,07 BROOKLYN,39,Precinct 72,3010480032,BROOKLYN,987676,181464,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.664752824460003,-73.987650824349998,POINT (-73.987650824354 40.664752824464),0.067173795308204,0.000151474952878
1067,24,row-trmr_qqhc-ep65,rv-zaux_2atq-jc32,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0702,Sunset Park (West),SnstPk_W,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),79869.4683041,4.680359190115616,67987709,02/13/2026 01:07:24 PM,02/12/2026 03:02:47 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11220,365 58 STREET,58 STREET,,,,,ADDRESS,BROOKLYN,,,Open,,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",02/13/2026 12:00:00 AM,07 BROOKLYN,38,Precinct 72,3008460046,BROOKLYN,979263,173334,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.642437007630001,-74.017969860619999,POINT (-74.017969860622 40.642437007631),0.255873216914539,0.000498348517710
724,25,row-qbe2-hwpy.c5q3,rv-fxrv_u68i~u7z6,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0703,Sunset Park (Central),SnstPk_C,0,BK07,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),24014.323113,1.742330583178676,67987806,02/13/2026 11:13:13 PM,02/11/2026 08:37:50 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11220,404 61 STREET,61 STREET,,,,,ADDRESS,BROOKLYN,,,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,07 BROOKLYN,38,Precinct 72,3057910007,BROOKLYN,979097,172438,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639977584770001,-74.018567330840000,POINT (-74.018567330839 40.639977584771),0.076317874720096,0.000185487029781
